,tag,precision,recall,f1-score
0,PRT,0.7968001993201759,0.7504944852324918,0.7729544493262782
1,ADV,0.6803091783970123,0.6737406426145557,0.6770089784249788
2,X,0.5164835164835165,0.016955266955266956,0.032832692979392245
3,ADP,0.9019272346695677,0.9048429879944185,0.9033827586206897
4,VERB,0.8472434316672153,0.8591627906976744,0.8531614824313787
5,ADJ,0.7042372587742092,0.606968383081903,0.6519949832722282
6,NOUN,0.8474883680098323,0.8758355772650404,0.861428828928512
7,PRON,0.894008856981213,0.9288928527992865,0.9111170757408567
8,CONJ,0.9690856313497823,0.9625828942884852,0.9658233174657443
9,NUM,0.8765164806450408,0.7893303751512707,0.8306418805384085
10,.,0.9917233354184743,0.9991563040016264,0.9954259441796406
11,DET,0.9397863654722751,0.9509593560017224,0.9453398484403284
