,tag,precision,recall,f1-score
0,DET,0.9885581725249896,0.9866679073705107,0.9876121354684122
1,NOUN,0.9773325808026773,0.978750390117507,0.9780409716313633
2,PRT,0.9123857495496698,0.9169432431526366,0.9146588192017656
3,ADV,0.9108408014409927,0.9103913654225715,0.9106160279768164
4,NUM,0.9730720522562154,0.9815113621083771,0.9772734879673328
5,ADJ,0.9408307429809568,0.9517116374625243,0.9462399111693024
6,VERB,0.9833239071129151,0.9703994528043776,0.9768189304264966
7,X,0.8906557084152225,0.8991702741702742,0.8948927385333453
8,CONJ,0.9931408131444819,0.9933881156457236,0.9932644490017887
9,.,0.9997288011485271,0.9992427066038695,0.9994856947738285
10,PRON,0.9730512416535374,0.9858667450439859,0.9794170729804088
11,ADP,0.9649974864163183,0.9679638174709532,0.9664783758711898
